Dénomination,Dépt.
"Mouvement Emploi, environnement, sécurité en Seine-et-Marne",77
"Mouvement Hommes, Nature et Animaux",75
Mouvement indépendantiste martiniquais (M.I.M.),972
Mouvement libéral martiniquais,972
Mouvement politique pour la relance économique et sociale de la Seyne-sur-mer,83
Mouvement populaire mahorais,976
Mouvement pour la démocratie directe,67
Mouvement Pour la France,75
Mouvement pour les droits et le respect des générations futures,60
Mouvement pour une écologie urbaine,972
Mouvement Progressiste Socialisme et Démocratie (M.P.S.D.),974
Mouvement réussir Strasbourg,67
Nanterre maintenant,92
Nouveaux écologistes du rassemblement Nature et Animaux (ex Les nouveaux...)(N.E.R.N.A.),13
Nouvelle génération,974
Parti communautaire national européen,75
Parti Communiste Français (P.C.F.),75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la loi naturelle,95
Parti des travailleurs,75
Parti écologiste,26
Parti guadeloupéen écologiste,971
Parti humaniste,75
Parti martiniquais socialiste,972
Parti mondialiste,75
Parti national républicain,75
Parti populaire pour la démocratie française (ex Club perspectives et réalités) (P.P.D.F.),75
Parti pour la défense des animaux,13
Parti pour la liberté,75
Parti progressiste démocratique gaudeloupéen (P.P.D.G.),971
Parti progressiste martiniquais,972
Parti Radical,75
"Parti radical de gauche (ex parti radical socialiste, ex MRG)",75
Parti Social Démocrate (P.S.D.),75
Parti Socialiste (P.S.),75
Parti socialiste gaudeloupéen (P.S.G.),971
Parti socialiste guyanais,973
Participation et liberté,75
Partit occitan,10
Partit per catalunya,66
Plus jamais comme avant,974
Pour rénover la gauche,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des buxangeorgiens républicains,77
Rassemblement des démocrates et républicains de progrès,77
Rassemblement des démocrates pour la protection de l'espace réunionnais,974
Rassemblement Poitiers sud,86
Rassemblement Pour la Calédonie dans la République (R.P.C.R.),988
Rassemblement Pour la République (R.P.R.),75
Rassemblement Social et Libéral (R.S.L.),75
Rassembler pour agir,95
Réussir ensemble en Dordogne-Périgord,24
Savoie d'aujourd'hui,73
Solidaires-Régions-écologie,75
Solidarité écologie Gauche Alternative (S.E.G.A.),75
Solidarité écologie Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Solidarité et progrès,75
Solidarité entreprises,77
Tahoeraa huiraatira,987
Tireo,987
Toulon 89,83
Toulouse pour tous,31
Tous pour le 13ème,75
Une nouvelle Calédonie pour tous,988
Union centriste,75
Union centriste et libérale,974
Union Démocratique Bretonne (U.D.B.),44
Union des forces de progrès de Guyane,973
Union des indépendants,75
Union des martiniquais démocrates,972
Union Drôme-sud des républicains,26
Union du peuple alsacien,67
Union et rassemblement majorité régionale Rhône-Alpes,1
Union et rassemblement pour le Gers,32
Union pour l'Albigeois,81
Union pour l'avenir de Mantes-la-jolie,78
Union pour l'avenir des Alpes de Haute-Provence,4
Union pour l'avenir du pays de Ploërmel,56
Union pour l'avenir du XVIème sud,75
Union pour la VIIème (circonscription),95
Union pour la démocratie en Ile-de-France,75
Union pour la Démocratie Française (U.D.F.),75
Union pour la semaine de 4 jours,75
Union pour le pays malouin,35
Union pour Muret,31
Union pour Saint-Chamond,42
Union régionale pour la démocratie française de l'Ain,1
Union Républicaine Lorraine (U.R.L.),57
Union Républicaine pour l'Eure-et-Loir (U.R.E.L.),28
Unione di u populu corsu,20A
Unité 13,13
Walwari,973
