Pouria Amirshahi,Contre,Absent,Contre,Absent
Régine Povéda,Contre,Pour,Absent,Absent
Régis Juanico,Contre,Pour,Contre,Absent
Richard Ferrand,Contre,Absent,Contre,Pour
Sandrine Doucet,Contre,Pour,Contre,Absent
Serge Bardy,Contre,Absent,Absent,Absent
Sophie Errante,Contre,Pour,Pour,Absent
Suzanne Tallard,Contre,Contre,Contre,Absent
Sylviane Alaux,Contre,Contre,Contre,Contre
Valérie Corre,Contre,Pour,Contre,Pour
Yann Galut,Contre,Absent,Contre,Absent
Alain Calmette,Pour,Pour,Pour,Pour
Alain Claeys,Pour,Absent,Absent,Absent
Alain Fauré,Pour,Absent,Pour,Pour
Alain Rodet,Pour,Absent,Absent,Absent
Alain Rousset,Pour,Absent,Absent,Absent
Anne-Christine Lang,Pour,Pour,Pour,Absent
Anne-Yvonne Le Dain,Pour,Pour,Pour,Pour
Annick Le Loch,Pour,Absent,Absent,Absent
Annie Le Houerou,Pour,Absent,Pour,Pour
Armand Jung,Pour,Absent,Absent,Absent
Béatrice Santais,Pour,Absent,Pour,Pour
Bernadette Laclais,Pour,Pour,Pour,Pour
Bernard Lesterlin,Pour,Absent,Absent,Absent
Boinali Said,Pour,Absent,Absent,Absent
Brigitte Bourguignon,Pour,Pour,Pour,Pour
Bruno Le Roux,Pour,Pour,Pour,Pour
Carlos Da Silva,Pour,Absent,Pour,Pour
Carole Delga,Pour,Absent,Abstention,Absent
Catherine Beaubatie,Pour,Absent,Pour,Absent
Catherine Troallic,Pour,Absent,Absent,Absent
Christian Bataille,Pour,Absent,Absent,Absent
Christian Franqueville,Pour,Absent,Pour,Absent
Christian Hutin,Pour,Absent,Absent,Absent
Christophe Borgel,Pour,Pour,Pour,Pour
Christophe Bouillon,Pour,Absent,Pour,Absent
Christophe Caresche,Pour,Pour,Pour,Absent
Christophe Castaner,Pour,Absent,Pour,Absent
Colette Langlade,Pour,Pour,Pour,Absent
Corinne Erhel,Pour,Absent,Pour,Pour
Daniel Boisserie,Pour,Absent,Pour,Absent
Daniel Vaillant,Pour,Absent,Pour,Pour
David Comet,Pour,Absent,Pour,Pour
David Habib,Pour,Absent,Pour,Pour
Dominique Baert,Pour,Pour,Pour,Absent
Dominique Lefebvre,Pour,Pour,Pour,Pour
Dominique Raimbourg,Pour,Pour,Pour,Pour
Eduardo Rihan Cypel,Pour,Absent,Pour,Pour
Élisabeth Guigou,Pour,Pour,Pour,Pour
Émeric Bréhier,Pour,Pour,Pour,Absent
Éric Jalton,Pour,Absent,Absent,Absent
Ericka Bareigts,Pour,Absent,Absent,Absent
Erwann Binet,Pour,Pour,Absent,Pour
Estelle Grelier,Pour,Pour,Pour,Absent
Fabrice Verdier,Pour,Absent,Absent,Absent
Fanny Dombre-Coste,Pour,Pour,Abstention,Absent
François André,Pour,Pour,Pour,Absent
François Loncle,Pour,Absent,Pour,Pour
François Pupponi,Pour,Pour,Pour,Pour
Françoise Descamps-Crosnier,Pour,Pour,Pour,Pour
Françoise Dubois,Pour,Pour,Pour,Pour
Françoise Dumas,Pour,Pour,Pour,Pour
Françoise Imbert,Pour,Pour,Pour,Pour
Frédéric Barbier,Pour,Pour,Pour,Pour
Frédéric Cuvillier,Pour,Absent,Pour,Absent
Frédéric Roig,Pour,Absent,Pour,Absent
Frédérique Massat,Pour,Pour,Pour,Pour
Gabrielle Louis-Carabin,Pour,Absent,Absent,Absent
Geneviève Fioraso,Pour,Absent,Absent,Absent
Geneviève Gosselin-Fleury,Pour,Pour,Pour,Pour
Gérard Bapt,Pour,Pour,Pour,Absent
Germinal Peiro,Pour,Absent,Pour,Pour
Gilbert Le Bris,Pour,Pour,Absent,Absent
Gilbert Sauvan,Pour,Absent,Absent,Absent
Gilles Savary,Pour,Pour,Pour,Absent
Gisèle Biémouret,Pour,Pour,Pour,Absent
Guillaume Bachelay,Pour,Pour,Pour,Pour
Guillaume Garot,Pour,Absent,Pour,Absent
Guy Bailliart,Pour,Pour,Pour,Absent
Guy Chambefort,Pour,Absent,Pour,Pour
Guy-Michel Chauveau,Pour,Absent,Absent,Absent
Gwendal Rouillard,Pour,Absent,Absent,Absent
Henri Emmanuelli,Pour,Absent,Absent,Absent
Hervé Pellois,Pour,Pour,Absent,Absent
Hugues Fourage,Pour,Pour,Pour,Pour
Ibrahim Aboubacar,Pour,Pour,Pour,Pour
Jacqueline Maquet,Pour,Absent,Pour,Absent
Jacques Cresta,Pour,Absent,Pour,Absent
Jean Glavany,Pour,Absent,Absent,Absent
Jean Grellier,Pour,Absent,Pour,Absent
Jean Jacques Vlody,Pour,Pour,Pour,Absent
Jean Launay,Pour,Pour,Pour,Pour
Jean-Christophe Cambadélis,Pour,Absent,Pour,Absent
Jean-Claude Buisine,Pour,Pour,Pour,Absent
Jean-Claude Fruteau,Pour,Absent,Absent,Absent
Jean-Claude Perez,Pour,Absent,Pour,Absent
Jean-Jacques Bridey,Pour,Absent,Pour,Pour
Jean-Jacques Cottel,Pour,Absent,Absent,Absent
Jean-Louis Destans,Pour,Absent,Absent,Absent
Jean-Louis Dumont,Pour,Absent,Pour,Absent
Jean-Marc Ayrault,Pour,Pour,Pour,Absent
Jean-Marc Fournel,Pour,Absent,Pour,Absent
Jean-Marie Beffara,Pour,Pour,Pour,Pour
Jean-Michel Villaumé,Pour,Absent,Pour,Pour
Jean-Paul Dupré,Pour,Absent,Pour,Absent
Jean-Pierre Allossery,Pour,Absent,Pour,Pour
Jean-Pierre Le Roch,Pour,Absent,Absent,Absent
Jean-Yves Caullet,Pour,Pour,Pour,Pour
Jean-Yves Le Bouillonnec,Pour,Pour,Absent,Absent
Jean-Yves Le Déaut,Pour,Absent,Pour,Pour
Joaquim Pueyo,Pour,Pour,Pour,Absent
Joëlle Huillier,Pour,Pour,Pour,Pour
Karine Berger,Pour,Pour,Pour,Absent
Laurent Grandguillaume,Pour,Absent,Absent,Absent
Laurent Kalinowski,Pour,Absent,Contre,Pour
Luc Belot,Pour,Absent,Absent,Absent
Luce Pane,Pour,Absent,Absent,Absent
Lucette Lousteau,Pour,Pour,Pour,Pour
Malek Boutih,Pour,Absent,Absent,Absent
Marc Goua,Pour,Absent,Absent,Absent
Marie Le Vern,Pour,Absent,Pour,Absent
Marie-Anne Chapdelaine,Pour,Pour,Pour,Pour
Marie-Françoise Bechtel,Pour,Absent,Pour,Pour
Marie-Hélène Fabre,Pour,Pour,Pour,Absent
Marietta Karamanli,Pour,Absent,Pour,Pour
Martine Carrillon-Couvreur,Pour,Absent,Pour,Absent
Michel Françaix,Pour,Absent,Absent,Absent
Michel Issindou,Pour,Pour,Pour,Absent
Michel Lefait,Pour,Absent,Pour,Absent
Michel Lesage,Pour,Absent,Pour,Absent
Michel Liebgott,Pour,Absent,Pour,Absent
Michel Pajon,Pour,Absent,Absent,Absent
Michèle Delaunay,Pour,Absent,Pour,Absent
Michèle Fournier-Armand,Pour,Absent,Absent,Absent
Monique Iborra,Pour,Absent,Pour,Absent
Napole Polutélé,Pour,Absent,Absent,Absent
Nathalie Appéré,Pour,Absent,Pour,Absent
Nathalie Nieson,Pour,Absent,Pour,Pour
Nicolas Bays,Pour,Absent,Absent,Absent
Odile Saugues,Pour,Absent,Pour,Absent
Olivier Dussopt,Pour,Absent,Absent,Absent
Pascal Deguilhem,Pour,Absent,Absent,Absent
Pascal Demarthe,Pour,Pour,Pour,Pour
Pascal Popelin,Pour,Pour,Pour,Pour
Pascal Terrasse,Pour,Absent,Abstention,Pour
Pascale Got,Pour,Absent,Pour,Absent
Patricia Adam,Pour,Absent,Pour,Pour
Patrick Lebreton,Pour,Absent,Absent,Absent
Patrick Lemasle,Pour,Absent,Pour,Absent
Patrick Mennucci,Pour,Pour,Pour,Pour
Philippe Bies,Pour,Absent,Pour,Pour
Philippe Doucet,Pour,Absent,Pour,Absent
Philippe Duron,Pour,Absent,Absent,Absent
Philippe Kemel,Pour,Pour,Pour,Absent
Philippe Nauche,Pour,Absent,Pour,Pour
Philippe Plisson,Pour,Absent,Pour,Absent
Pierre Aylagas,Pour,Absent,Pour,Absent
Pierre Ribeaud,Pour,Absent,Pour,Absent
Razzy Hammadi,Pour,Absent,Pour,Absent
Rémi Pauvros,Pour,Absent,Pour,Absent
René Dosière,Pour,Absent,Pour,Pour
René Rouquet,Pour,Absent,Absent,Absent
Robert Olive,Pour,Absent,Pour,Pour
Sabine Buis,Pour,Absent,Pour,Absent
Sébastien Denaja,Pour,Absent,Pour,Pour
Sophie Dessus,Pour,Absent,Absent,Absent
Sylviane Bulteau,Pour,Absent,Pour,Absent
Sylvie Tolmont,Pour,Pour,Pour,Pour
Valérie Fourneyron,Pour,Pour,Pour,Pour
Valérie Rabault,Pour,Pour,Pour,Absent
Victorin Lurel,Pour,Absent,Absent,Absent
William Dumas,Pour,Absent,Pour,Absent
Yann Capet,Pour,Absent,Pour,Absent
Yves Blein,Pour,Absent,Pour,Pour
Yves Daniel,Pour,Absent,Pour,Pour
Yves Durand,Pour,Pour,Pour,Pour
Yves Goasdoué,Pour,Absent,Pour,Pour
Groupe Les Républicains,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
Alain Suguenot,Abstention,Absent,Absent,Absent
Camille de Rocca Serra,Abstention,Absent,Absent,Absent
Christophe Guilloteau,Abstention,Absent,Absent,Absent
François de Mazières,Abstention,Absent,Absent,Absent
Isabelle Le Callennec,Abstention,Absent,Abstention,Absent
Jean-Michel Couve,Abstention,Absent,Absent,Absent
Philippe Le Ray,Abstention,Absent,Pour,Absent
Philippe Meunier,Abstention,Absent,Contre,Abstention
Alain Leboeuf,Contre,Absent,Contre,Pour
Anne Grommerch,Contre,Absent,Absent,Absent
Antoine Herth,Contre,Absent,Absent,Absent
Arlette Grosskost,Contre,Absent,Absent,Absent
Arnaud Robinet,Contre,Absent,Contre,Absent
Benoist Apparu,Contre,Absent,Absent,Absent
Bérengère Poletti,Contre,Absent,Absent,Absent
Bernard Debré,Contre,Contre,Contre,Absent
Bernard Perrut,Contre,Absent,Absent,Absent
Christophe Priou,Contre,Absent,Absent,Absent
Claude Sturni,Contre,Absent,Absent,Absent
Damien Meslot,Contre,Absent,Absent,Absent
Denis Jacquat,Contre,Absent,Absent,Absent
Didier Quentin,Contre,Absent,Absent,Absent
Dominique Bussereau,Contre,Absent,Absent,Absent
Dominique Dord,Contre,Absent,Absent,Absent
Dominique Le Mèner,Contre,Absent,Absent,Absent
Édouard Philippe,Contre,Absent,Absent,Absent
Étienne Blanc,Contre,Absent,Contre,Absent
François Cornut-Gentille,Contre,Absent,Absent,Absent
François Fillon,Contre,Absent,Absent,Absent
Frédéric Reiss,Contre,Absent,Absent,Absent
Geneviève Levy,Contre,Absent,Contre,Absent
Georges Ginesta,Contre,Absent,Absent,Absent
Gérard Cherpion,Contre,Absent,Contre,Absent
Gilles Lurton,Contre,Contre,Contre,Contre
Guénhaël Huet,Contre,Absent,Absent,Absent
Guy Geoffroy,Contre,Absent,Contre,Abstention
Guy Teissier,Contre,Contre,Absent,Absent
Henri Guaino,Contre,Absent,Absent,Absent
Hervé Gaymard,Contre,Absent,Absent,Absent
Hervé Mariton,Contre,Absent,Contre,Absent
Jacques Pélissard,Contre,Absent,Absent,Absent
Jean Leonetti,Contre,Absent,Absent,Absent
Jean-Claude Mathis,Contre,Absent,Absent,Absent
Jean-Claude Mignon,Contre,Absent,Contre,Contre
Jean-François Lamour,Contre,Absent,Contre,Absent
Jean-François Mancel,Contre,Absent,Absent,Absent
Jean-Frédéric Poisson,Contre,Absent,Contre,Contre
Jean-Jacques Guillet,Contre,Absent,Contre,Absent
Jean-Marie Tetart,Contre,Absent,Absent,Absent
Jean-Pierre Giran,Contre,Absent,Absent,Absent
Jean-Sébastien Vialatte,Contre,Absent,Absent,Absent
Jérôme Chartier,Contre,Absent,Absent,Absent
Laurence Arribagé,Contre,Absent,Absent,Absent
Lionel Tardy,Contre,Absent,Absent,Absent
Marc Laffineur,Contre,Absent,Absent,Absent
Marcel Bonnot,Contre,Absent,Absent,Absent
Marianne Dubois,Contre,Absent,Contre,Abstention
Michel Heinrich,Contre,Absent,Contre,Absent
Michel Terrot,Contre,Absent,Contre,Absent
Michel Voisin,Contre,Absent,Contre,Contre
Nathalie Kosciusko-Morizet,Contre,Absent,Contre,Abstention
Nicolas Dhuicq,Contre,Absent,Contre,Contre
Nicole Ameline,Contre,Absent,Contre,Absent
Olivier Dassault,Contre,Absent,Absent,Absent
Patrice Martin-Lalande,Contre,Absent,Absent,Absent
Patrice Verchère,Contre,Absent,Contre,Abstention
Patrick Devedjian,Contre,Absent,Contre,Absent
Patrick Hetzel,Contre,Absent,Absent,Absent
Philippe Armand Martin,Contre,Contre,Contre,Absent
Philippe Gosselin,Contre,Absent,Absent,Absent
Philippe Houillon,Contre,Absent,Contre,Abstention
Pierre Lellouche,Contre,Contre,Contre,Contre
Rémi Delatte,Contre,Absent,Absent,Absent
Serge Grouard,Contre,Contre,Abstention,Absent
Sophie Rohfritsch,Contre,Absent,Absent,Absent
Sylvain Berrios,Contre,Absent,Absent,Absent
Thierry Lazaro,Contre,Absent,Absent,Absent
Thierry Mariani,Contre,Absent,Contre,Absent
Thierry Solère,Contre,Absent,Contre,Pour
Valérie Boyer,Contre,Absent,Contre,Absent
Véronique Louwagie,Contre,Absent,Abstention,Abstention
Xavier Breton,Contre,Absent,Contre,Absent
Alain Chrétien,Pour,Absent,Pour,Pour
Alain Gest,Pour,Absent,Absent,Absent
Alain Marleix,Pour,Absent,Absent,Absent
Alain Marty,Pour,Absent,Abstention,Pour
Alain Moyne-Bressand,Pour,Absent,Absent,Absent
André Schneider,Pour,Absent,Absent,Absent
Annie Genevard,Pour,Absent,Pour,Absent
Arnaud Viala,Pour,Absent,Pour,Pour
Axel Poniatowski,Pour,Absent,Absent,Absent
Bernard Accoyer,Pour,Absent,Absent,Absent
Bernard Brochand,Pour,Absent,Absent,Absent
Bernard Deflesselles,Pour,Absent,Absent,Absent
Bernard Gérard,Pour,Absent,Pour,Pour
Bernard Reynès,Pour,Absent,Absent,Absent
Bruno Le Maire,Pour,Absent,Absent,Absent
Catherine Vautrin,Pour,Absent,Absent,Absent
Céleste Lett,Pour,Absent,Absent,Absent
Charles de La Verpillière,Pour,Absent,Absent,Absent
Charles-Ange Ginesy,Pour,Absent,Pour,Absent
Christian Estrosi,Pour,Absent,Absent,Absent
Christian Jacob,Pour,Absent,Pour,Pour
Christian Kert,Pour,Absent,Pour,Pour
Claude de Ganay,Pour,Absent,Absent,Absent
Claude Goasguen,Pour,Absent,Absent,Absent
Claude Greff,Pour,Absent,Absent,Absent
Claudine Schmid,Pour,Absent,Pour,Pour
Damien Abad,Pour,Absent,Absent,Absent
Daniel Fasquelle,Pour,Absent,Pour,Absent
Daniel Gibbes,Pour,Absent,Absent,Absent
David Douillet,Pour,Absent,Absent,Absent
Dino Cinieri,Pour,Absent,Absent,Absent
Dominique Nachury,Pour,Absent,Abstention,Pour
Dominique Tian,Pour,Absent,Absent,Absent
Édouard Courtial,Pour,Absent,Absent,Absent
Elie Aboud,Pour,Absent,Absent,Absent
Éric Ciotti,Pour,Abstention,Pour,Pour
Éric Straumann,Pour,Absent,Pour,Absent
Éric Woerth,Pour,Absent,Pour,Absent
Fernand Siré,Pour,Absent,Absent,Absent
Franck Gilard,Pour,Absent,Absent,Absent
Franck Marlin,Pour,Absent,Absent,Absent
Franck Riester,Pour,Absent,Absent,Absent
François Scellier,Pour,Absent,Absent,Absent
François Vannson,Pour,Absent,Absent,Absent
Françoise Guégot,Pour,Absent,Absent,Absent
Frédéric Lefebvre,Pour,Absent,Absent,Absent
Georges Fenech,Pour,Abstention,Pour,Absent
Gérard Menuel,Pour,Absent,Absent,Absent
Gilles Carrez,Pour,Absent,Absent,Absent
Guillaume Chevrollier,Pour,Absent,Pour,Pour
Guillaume Larrivé,Pour,Abstention,Pour,Pour
Jacques Alain Bénisti,Pour,Absent,Absent,Absent
Jacques Kossowski,Pour,Absent,Absent,Absent
Jacques Lamblin,Pour,Absent,Absent,Absent
Jacques Myard,Pour,Absent,Absent,Absent
Jean-Claude Bouchet,Pour,Pour,Pour,Absent
Jean-Claude Guibal,Pour,Absent,Absent,Absent
Jean-François Copé,Pour,Absent,Absent,Absent
Jean-Louis Christ,Pour,Absent,Absent,Absent
Jean-Louis Costes,Pour,Absent,Absent,Absent
Jean-Luc Reitzer,Pour,Absent,Absent,Absent
Jean-Luc Warsmann,Pour,Absent,Absent,Absent
Jean-Marie Sermier,Pour,Absent,Pour,Pour
Jean-Pierre Barbier,Pour,Absent,Absent,Absent
Jean-Pierre Decool,Pour,Absent,Absent,Absent
Jean-Pierre Door,Pour,Absent,Absent,Absent
Jean-Pierre Gorges,Pour,Absent,Pour,Absent
Jean-Pierre Vigier,Pour,Absent,Absent,Absent
Josette Pons,Pour,Absent,Pour,Absent
Julien Aubert,Pour,Absent,Absent,Absent
Laure de La Raudière,Pour,Absent,Absent,Absent
Laurent Furst,Pour,Absent,Pour,Absent
Laurent Marcangeli,Pour,Absent,Absent,Absent
Laurent Wauquiez,Pour,Absent,Absent,Absent
Lionnel Luca,Pour,Absent,Absent,Absent
Luc Chatel,Pour,Absent,Absent,Absent
Lucien Degauchy,Pour,Absent,Absent,Absent
Marc Francina,Pour,Absent,Absent,Absent
Marc Le Fur,Pour,Absent,Absent,Absent
Marc-Philippe Daubresse,Pour,Absent,Absent,Absent
Marie-Christine Dalloz,Pour,Absent,Pour,Pour
Marie-Jo Zimmermann,Pour,Absent,Pour,Absent
Marie-Louise Fort,Pour,Absent,Pour,Absent
Martial Saddier,Pour,Absent,Absent,Absent
Michel Herbillon,Pour,Absent,Absent,Absent
Michel Sordi,Pour,Absent,Pour,Absent
Michèle Tabarot,Pour,Absent,Absent,Absent
Olivier Audibert-Troin,Pour,Absent,Pour,Absent
Olivier Carré,Pour,Absent,Absent,Absent
Olivier Marleix,Pour,Absent,Pour,Pour
Patrick Balkany,Pour,Absent,Absent,Absent
Patrick Labaune,Pour,Absent,Absent,Absent
Patrick Ollier,Pour,Absent,Absent,Absent
Paul Salen,Pour,Absent,Absent,Absent
Philippe Briand,Pour,Absent,Absent,Absent
Philippe Cochet,Pour,Absent,Absent,Absent
Philippe Goujon,Pour,Absent,Pour,Pour
Philippe Vitel,Pour,Absent,Absent,Absent
Pierre Lequiller,Pour,Absent,Absent,Absent
Pierre Morange,Pour,Absent,Absent,Absent
Pierre Morel-A-L'Huissier,Pour,Absent,Abstention,Absent
Sauveur Gandolfi-Scheit,Pour,Absent,Pour,Absent
Sébastien Huyghe,Pour,Absent,Absent,Absent
Sophie Dion,Pour,Absent,Absent,Absent
Valérie Lacroute,Pour,Absent,Absent,Absent
Virginie Duby-Muller,Pour,Absent,Pour,Pour
Yannick Moreau,Pour,Absent,Absent,Absent
Yves Albarello,Pour,Absent,Pour,Absent
Yves Censi,Pour,Absent,Absent,Absent
Yves Foulon,Pour,Absent,Absent,Absent
Yves Fromion,Pour,Absent,Absent,Absent
Yves Nicolin,Pour,Absent,Pour,Pour
Groupe de l'union des démocrates et indépendants,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
André Santini,Pour,Absent,Absent,Absent
Arnaud Richard,Contre,Absent,Contre,Absent
Bertrand Pancher,Contre,Absent,Absent,Absent
Charles de Courson,Pour,Absent,Absent,Pour
Francis Hillmeyer,Pour,Absent,Absent,Abstention
Francis Vercamer,Pour,Absent,Absent,Absent
Franck Reynier,Pour,Absent,Pour,Absent
François Rochebloine,Pour,Absent,Pour,Absent
François Sauvadet,Pour,Absent,Absent,Absent
François-Xavier Villain,Pour,Absent,Absent,Absent
Hervé Morin,Pour,Absent,Absent,Absent
Jean-Christophe Lagarde,Pour,Absent,Pour,Abstention
Jean-Paul Tuaiva,Pour,Absent,Absent,Absent
Jonas Tahuaitu,Pour,Absent,Absent,Absent
Laurent Degallaix,Pour,Absent,Absent,Absent
Maina Sage,Pour,Absent,Absent,Absent
Maurice Leroy,Pour,Absent,Pour,Absent
Meyer Habib,Pour,Contre,Pour,Absent
Michel Piron,Contre,Absent,Absent,Absent
Michel Zumkeller,Pour,Absent,Absent,Absent
Philippe Folliot,Pour,Absent,Abstention,Absent
Philippe Gomès,Pour,Absent,Pour,Pour
Philippe Vigier,Pour,Contre,Pour,Absent
Rudy Salles,Pour,Absent,Absent,Absent
Sonia Lagarde,Pour,Absent,Absent,Absent
Stéphane Demilly,Pour,Absent,Absent,Absent
Thierry Benoit,Pour,Absent,Absent,Absent
Yannick Favennec,Pour,Absent,Absent,Absent
Yves Jégo,Contre,Absent,Absent,Absent
Groupe écologiste,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
Barbara Pompili,Pour,Pour,Contre,Pour
Brigitte Allain,Contre,Contre,Contre,Contre
Cécile Duflot,Contre,Contre,Contre,Absent
Christophe Cavard,Abstention,Absent,Contre,Absent
Danielle Auroi,Contre,Contre,Contre,Contre
Denis Baupin,Pour,Pour,Absent,Absent
Éric Alauzet,Contre,Absent,Contre,Absent
Eva Sas,Contre,Absent,Contre,Absent
François de Rugy,Pour,Pour,Pour,Pour
François-Michel Lambert,Pour,Absent,Absent,Absent
Isabelle Attard,Contre,Contre,Contre,Absent
Jean-Louis Roumégas,Contre,Contre,Contre,Absent
Laurence Abeille,Contre,Contre,Contre,Contre
Michèle Bonneton,Contre,Absent,Contre,Absent
Noël Mamère,Contre,Absent,Contre,Absent
Paul Molac,Contre,Absent,Absent,Absent
Sergio Coronado,Contre,Absent,Absent,Absent
Véronique Massonneau,Contre,Abstention,Contre,Absent
Groupe de la gauche démocrate et républicaine,Scrutin sur l'ensemble du texte,Scrutin sur l'article 1,Scrutin sur l'article 2,Second scrutin sur l'article 1
