Dénomination,Dépt.
Mouvement Pour la France,75
Mouvement progressiste Socialisme et démocratie (M.P.S.D.),974
Mouvement réussir Strasbourg,67
Nanterre maintenant,92
Nouvelle Démocratie,75
Nouvelle génération,974
Parti Communiste Français (P.C.F.),75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la loi naturelle,95
Parti des travailleurs,75
Parti écologiste,26
Parti humaniste,75
Parti libéral,34
Parti martiniquais socialiste,972
Parti mondialiste,75
Parti national républicain,75
Parti Populaire pour la Démocratie Française (ex Club perspectives et réalités) (P.P.D.F.),75
Parti pour la défense des animaux,13
Parti pour la liberté,75
Parti Progressiste Démocratique Gaudeloupéen (P.P.D.G.),971
Parti progressiste martiniquais,972
Parti Radical,75
Parti Radical Socialiste,
(devient Parti radical de gauche le 13/01/1998) - (ex MRG),75
Parti Social Démocrate (P.S.D.),75
Parti Socialiste (P.S.),75
Parti Socialiste Gaudeloupéen (P.S.G.),971
Parti Socialiste Guyanais (P.S.G.),973
Partit per catalunya,66
Partit occitan,10
Pour rénover la gauche,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des buxangeorgiens républicains,77
Rassemblement des démocrates et républicains de progrès,77
Rassemblement des démocrates pour la protection de l'espace réunionnais,974
Rassemblement Poitiers sud,86
Rassemblement Pour la Calédonie dans la République (R.P.C.R.),988
Rassemblement Pour la République (R.P.R.),75
Rassemblement social et libéral,75
Rassembler pour agir,95
Réformes et liberté,75
Réussir ensemble en Dordogne-Périgord,24
Réussir Lyon (Fédération Réussir Lyon),69
Solidaires-Régions-Ecologie,75
Solidarité Ecologie Gauche Alternative (S.E.G.A.),75
Solidarité Ecologie Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Solidarité et progrès,75
Solidarité entreprises,77
Tahoeraa huiraatira,987
Tireo,987
Toulon 89,83
Toulouse pour tous,31
Tous pour le 13ème,75
Une nouvelle Calédonie pour tous,988
Union centriste,75
Union Démocratique Bretonne (U.D.B.),44
Union des forces libérales de Guyane,973
Union des indépendants,75
Union Drôme-Sud des Républicains (U.D.S.R.),26
Union du peuple alsacien,67
Union du peuple de France,69
Union et rassemblement majorité régionale Rhône-Alpes,1
Union et rassemblement pour le Gers,32
Union nationale écologiste,13
Union pour l'Albigeois,81
Union pour l'avenir de Mantes-la-jolie,78
Union pour l'avenir des Alpes de Haute-Provence,4
Union pour l'avenir du pays de Ploërmel,56
Union pour l'avenir du 16ème sud,75
Union pour la 7ème,95
Union pour la démocratie en Ile-de-France,75
Union pour la Démocratie Française (U.D.F.),75
Union pour la semaine de 4 jours,75
Union pour le pays malouin,35
Union pour Saint-Chamond,42
Union régionale pour la démocratie française de l'Ain,1
Union Républicaine Lorraine (U.R.L.),57
Union Républicaine pour l'Eure-et-Loir (U.R.E.L.),28
Unione di u populu corsu,20A
Unité 13,13
Walwari,973
