DÉNOMINATION de la formation politique,LOCALISATION du siège
CONFÉDÉRATION   DES   ÉCOLOGISTES   INDÉPENDANTS,Marne
CONVENTION CITOYENNE ,Bouches-du-Rhône
CONVENTION POUR UNE ALTERNATIVE PROGRESSISTE ,Paris
CONVERGENCE        RÉGIONALE,Paris
CONVERGENCES        CHAMPIGNY,Val-de-Marne
CONVERGENCES-GILLES     CARREZ ,Val-de-Marne
COORDINATION COMMUNISTE DU RHÔNE,Rhône
COTELEC       ,Hauts-de-Seine
DEBOUT    LA    RÉPUBLIQUE,Essonne
DÉMOCRATIE   CHRÉTIENNE   FRANÇAISE ,Paris
DÉMOCRATIE ET LIBERTÉ ,Gers
DÉMOCRATIE ET RÉPUBLIQUE (anciennement METZ POUR TOUS) ,Moselle
DÉMOCRATIE SOCIALE,Paris
DES VILLAGES DANS LA VILLE ,Val-de-Marne
DROIT DE CHASSE,Bouches-du-Rhône
DROITE LIBÉRALE CHRÉTIENNE,Rhône
ÉCOLOGIE       SOCIALE,Vendée
EDEN-RÉPUBLIQUE   ET   DÉMOCRATIE,Seine-Maritime
ÉNERGIE       FRANCE,Paris
ÉNERGIES DÉMOCRATES ,Paris
ENSEMBLE   POUR   GONESSE,Val-d’Oise
ENSEMBLE POUR LA FRANCE,Isère
ENSEMBLE POUR PARIS,Paris
ENTENTE CITOYENNE,Val-de-Marne
ENTENTE RÉPUBLICAINE-LE PARTI AZURÉEN,Alpes-Maritimes
"FÉDÉRATION NATIONALE DES ÉLUS RÉPUBLICAINS, INDÉPENDANTS ET LIBÉRAUX",Paris
FETIA API,Polynésie
FONSORBES CITOYENNETÉ 2000 ,Haute-Garonne
FORCE        DÉMOCRATE,Paris
FORUM DES RÉPUBLICAINS SOCIAUX ,Yvelines
FORUM EUROPÉEN CLERMONT-FERRAND AUVERGNE,Puy-de-Dôme
FORUM INITIATIVE ET LIBERTÉS,Mayenne
FRANCE 9 ,Paris
FRANCE MODERNE,Paris
FRANCHEVILLE AU CŒUR,Rhône
FRANKIZ   BREIZH/LIBERTÉ   BRETAGNE ,Finistère
FREE-DOM ,Réunion
FRONT       NATIONAL,Hauts-de-Seine
FUTURS-MOUVEMENT DES REFONDATEURS COMMUNISTES,Seine-Saint-Denis
GÉNÉRATION      ÉCOLOGIE,Paris
GRENOBLE 2001,Isère
GRENOBLE EST À VOUS,Isère
GROUPE D’ACTION ÉCONOMIQUE ET SOCIALE,Bouches-du-Rhône
GROUPE D’ÉTUDES MUNICIPALES D’EURE-ET-LOIR (GEM 28),Eure-et-Loir
GROUPEMENT D’INTÉRÊT POLITIQUE DÉMOCRATIE ACTIVE (GIP DÉMOCRATIE ACTIVE),Paris
GROUPEMENT      FRANCE-RÉUNION,Réunion
GUADELOUPE       RESPECT,Guadeloupe
GUADELOUPE UNIE SOCIALISME ET RÉALITÉS,Guadeloupe
GWADLOUP DOUBOUT ,Guadeloupe
IDÉES-FORCES,Hauts-de-Seine
IDENTITÉ ET RÉPUBLIQUE ,Réunion
IMPÔT BAISSE NET ,Réunion
INDRE DÉMOCRATIE,Indre
INITIATIVE      RÉPUBLICAINE,Paris
"INITIATIVES POUR UNE DÉMOCRATIE EUROPÉENNE, ÉCONOMIQUE ET SOCIALE",Val-de-Marne
JEAN  JAURÈS  D’AUJOURD’HUI,Charente-Maritme
LA FRANCE EN TÊTE ,Vaucluse
LA RELÈVE ,Réunion
LA RESTAURATION NATIONALE (CENTRE DE PROPAGANDE ROYALISTE ET D’ACTION FRANCAISE,Paris
LA VOLONTÉ DE VIVRE ENSEMBLE ,Haut-Rhin
L’ACTION,Martinique
L’ACTION AVEC GILBERT MEYER,Haut-Rhin
L’ALLIANCE ,Nouvelle-Calédonie
L’ALLIANCE RÉGIONALE ,Nord
LE 15e  POUR PARIS ,Paris
LE PARTI GAULLISTE ,Réunion
LE TRÈFLE - LES NOUVEAUX ÉCOLOGISTES - HOMME NATURE ANIMAUX ,Bouches-du-Rhône
LES ALTERNATIFS,Paris
LES VERTS ,Paris
L’ÉTANG-SALÉ LIBRE ,Réunion
LIBÉRATION KANAK SOCIALISTE ,Nouvelle-Calédonie
LIGUE COMMUNISTE RÉVOLUTIONNAIRE ,Seine-Saint-Denis
LUTTE OUVRIÈRE,Seine-Saint-Denis
MIDI-PYRÉNÉS POUR TOUS - L’UNION EN MOUVEMENT,Haute-Garonne
MOUVEMENT « RENOUVEAU INTER-GÉNÉRATIONS »,Rhône
MOUVEMENT CENTRISTE MARTINIQUAIS,
MOUVEMENT DE LA GAUCHE PROGRESSISTE ,Sarthe
MOUVEMENT DÉMOCRATIE ALSACIENNE,Bas-Rhin
MOUVEMENT DÉMOCRATIE LORRAINE,Moselle
MOUVEMENT DEPARTEMENTALISTE MAHORAIS,Mayotte
MOUVEMENT    DES    RÉFORMATEURS,Bas-Rhin
MOUVEMENT DES RÉPUBLICAINS ET DES CITOYENS,Paris
MOUVEMENT DES SEINE-ET-MARNAIS ,Seine-et-Marne
MOUVEMENT D’UNION DE GESTION COMMUNALE DE LA VILLE DE PLAN-DE-CUQUES,Bouches-du-Rhône
MOUVEMENT ÉCOLOGISTE GUADELOUPÉEN,
MOUVEMENT ÉCOLOGISTE INDÉPENDANT,Aisne
MOUVEMENT   HOMMES-ANIMAUX-NATURE,Paris
MOUVEMENT INDÉPENDANTISTE MARTINIQUAIS ,Martinique
MOUVEMENT LIBÉRAL MARTINIQUAIS,Martinique
MOUVEMENT NATIONAL RÉPUBLICAIN ,Paris
MOUVEMENT POPULAIRE FRANCISCAIN ,Martinique
MOUVEMENT POUR LA FRANCE,Paris
MOUVEMENT POUR L’INFORMATION ET LA RESPONSABILISATION DES ÉLUS,Paris
MOUVEMENT PROGRESSISTE SOCIALISME ET DÉMOCRATIE,Réunion
MOUVEMENT ROUGE ET VERT D’ILLE-ET-VILAINE ,Ille-et-Vilaine
MOUVMAN  PARNOUMINM-DEMOKRASI  LIBERASYON  NASYONAL-DÉMOCRATIE  LIBÉRATION NATIONALE,Réunion
NOUVEL ÉLAN DÉMOCRATIQUE,Saône-et-Loire
NOUVELLE UNION POUR LA DÉMOCRATIE FRANÇAISE (anciennement Union pour la Démocratie Française),Paris
OBJECTIF GUADELOUPE,Guadeloupe
ORGANISATION RÉGIONALE ET DÉMOCRATIQUE DE RÉFLEXION ÉTHIQUE ,Guadeloupe
PARTI BLANC ,Calvados
PARTI COMMUNISTE FRANÇAIS,Paris
PARTI COMMUNISTE GUADELOUPÉEN,Guadeloupe
PARTI COMMUNISTE MARTINIQUAIS,Martinique
PARTI COMMUNISTE RÉUNIONNAIS ,Réunion
PARTI DE LA LOI NATURELLE,Loire-Atlantique
PARTI DES LIBERTÉS INDIVIDUELLES,Paris
PARTI   DES   SOCIOPROFESSIONNELS ,Haute-Garonne
PARTI DES TRAVAILLEURS,Paris
PARTI FÉDÉRALISTE ,Doubs
PARTI POUR LA DÉFENSE DES ANIMAUX ,Bouches-du-Rhône
PARTI POUR LA LIBÉRATION DE LA MARTINIQUE ,Martinique
PARTI PROGRESSISTE DÉMOCRATIQUE GUADELOUPÉEN,Guadeloupe
PARTI PROGRESSISTE MARTINIQUAIS,Martinique
PARTI RADICAL,Paris
PARTI RADICAL DE GAUCHE,Paris
PARTI RÉFORMISTE FRANÇAIS ,Hérault
PARTI RÉUNIONNAIS-PARTI RENYONE ,Réunion
PARTI SOCIALISTE,Paris
PARTI SOCIALISTE GUADELOUPÉEN ,Guadeloupe
PARTICIPATION CITOYENNE,Rhône
PARTICIPATION ET LIBERTÉ ,Paris
PARTIT OCCITAN ,Aude
PARTITU DI A NAZIONE CORSA,Corse-du-Sud
PÔLE   RÉPUBLICAIN   OUTRE-MER,
POUR L’AQUITAINE (autre dénomination AQUITAINE 2000) ,Gironde
POUR RÉUSSIR L’ACCORD DE NOUMÉA ,
PRIORITÉ RÉUNION,Réunion
PRIORITÉ   SOCIALISTE   RÉUNION,Réunion
RASSEMBLEMENT DES CONTRIBUABLES FRANÇAIS,Eure
RASSEMBLEMENT     POITIERS-SUD ,Vienne
RASSEMBLEMENT POUR LA CALÉDONIE DANS LA RÉPUBLIQUE,Nouvelle-Calédonie
RASSEMBLEMENT POUR LA FRANCE ,Hauts-de-Seine
RASSEMBLEMENT POUR LA FRANCE ET L’INDÉPENDANCE DE L’EUROPE ,Hauts-de-Seine
RASSEMBLEMENT POUR LA GUADELOUPE FRANÇAISE ET CARAÏBIENNE ,Guadeloupe
RASSEMBLEMENT POUR LA GUYANE DANS LA RÉPUBLIQUE ,Guyane
RASSEMBLEMENT POUR LE SUD,Réunion
RASSEMBLEMENT POUR LE SUD-ESSONNE,Essonne
RASSEMBLEMENT POUR LEVALLOIS,Hauts-de-Seine
RASSEMBLEMENT POUR L’INDÉPENDANCE ET LA SOUVERAINETÉ DE LA FRANCE (EX-ENTENTE SOUVERAINISTE)  ,Paris
RASSEMBLER ET AGIR POUR LE BOULONNAIS ,Pas-de-Calais
RASSEMBLER   POUR   AGIR ,Val-d’Oise
RÉAGIR AVEC OLIVIER DE CHAZEAUX,Hauts-de-Seine
RÉGIONS ET PEUPLES SOLIDAIRES ,Morbihan
RENOUVEAU ÉCOLOGIQUE ,Bouches-du-Rhône
RENOUVEAU  MARMANDAIS ,Lot-et-Garonne
RENOUVEAU SOCIALISTE,Guadeloupe
RÉSEAU NOUVELLE DONNE ,Paris
"RÉUNION AVENIR, UNE AMBITION POUR LA RÉUNION DANS LA FRANCE",Réunion
RÉUSSIR   ENSEMBLE   EN   DORDOGNE-PÉRIGORD,Dordogne
SPM ALLIANCE,Saint-Pierre-et-Miquelon
SAVOIE D’AUJOURD’HUI ,Savoie
SAVOIE PLUS LOIN,Savoie
SAVOIE PREMIÈRE,Savoie
SOLIDAIRES-RÉGIONS-ÉCOLOGIE      ,Haute-Corse
SOLIDARITÉ ÉCOLOGIE GAUCHE ALTERNATIVE,Paris
SOLIDARITÉ    ET    PROGRÈS,Paris
TAHOERAA HUIRAATIRA,Polynésie
TARBES 2001,Hautes-Pyrénées
TE HONO E TAU I TE HONOAUI,Polynésie
TOULOUSE POUR TOUS,Haute-Garonne
TOUS POUR BAIE-MAHAULT ,Guadeloupe
UNION CENTRISTE ET LIBÉRALE,Réunion
UNION DÉMOCRATIQUE BRETONNE ,Loire-Atlantique
UNION DÉMOCRATIQUE POUR LE PROGRÈS,Rhône
UNION DES CONTRIBUABLES DE FRANCE ,Indre-et-Loire
UNION DES CONTRIBUABLES D’EUROPE ,Hauts-de-Seine
"UNION DES INDÉPENDANTS POUR LES RÉGIONS, L’ÉCONOMIE ET L’ENVIRONNEMENT",Paris
UNION DES SOCIALISTES POUR MIDI-PYRÉNÉES,Haute-Garonne
UNION DES VICTIMES DE L’ÉTAT,Paris
UNION DU PEUPLE ALSACIEN ,Haut-Rhin
UNION ET DÉMOCRATIE,Bouches-du-Rhône
UNION    ET    DÉMOCRATIE,Rhône
UNION ET RASSEMBLEMENT MAJORITÉ RÉGIONALE RHÔNE-ALPES,Ain
UNION  GAULLISTE,Hauts-de-Seine
UNION POPULAIRE POUR LA LIBÉRATION DE LA GUADELOUPE ,Guadeloupe
UNION POUR CHÂTILLON,Hauts-de-Seine
UNION POUR LA SAVOIE,Savoie
UNION POUR LA VIIe,Val-d’Oise
UNION POUR L’ALBIGEOIS,Tarn
UNION POUR L’AVENIR DE MANTES-LA-JOLIE ,Yvelines
UNION POUR L’AVENIR DU PAYS DE PLOERMEL,Morbihan
UNION POUR L’AVENIR DU XVIe  SUD,Paris
UNION POUR LE PAYS MALOUIN ,Ille-et-Vilaine
UNION POUR MURET ,Haute-Garonne
UNION POUR SAINT-SÉBASTIEN-SUR-LOIRE,Loire-Atlantique
UNION POUR STRASBOURG,Bas-Rhin
UNION POUR UN MOUVEMENT POPULAIRE,Paris
UNION POUR UNE NOUVELLE MAJORITÉ ,Paris
UNION RÉPUBLICAINE ET D’ACTIONS COMMUNAUTAIRES,Bouches-du-Rhône
UNION RÉPUBLICAINE LORRAINE,Moselle
UNION RÉPUBLICAINE POUR L’EURE-ET-LOIR ,Eure-et-Loir
UNIONE DI U POPULU CORSU/SCELTA NOVA ,Haute-Corse
VIENNE AVENIR,Vienne
VIVE   LA   RÉPUBLIQUE ,Paris
VIVRE À LUISANT,Eure-et-Loir
VIVRE   À   SCHŒLCHER,Martinique
WALWARI,Guyane
