Dénomination,Dépt.
Mouvement écologiste indépendant,91
Mouvement indépendantiste martiniquais (M.I.M.),972
Mouvement initiative démocratique de gauche,2
Mouvement Politique pour la Relance économique et Sociale de la Seyne-sur-mer (M.P.R.E.S.S.),83
Mouvement populaire mahorais,976
"Mouvement pour l'emploi, l'environnement et la sécurité en Seine-et- Marne",77
Mouvement Pour la France,75
Mouvement Progressiste Socialisme et Démocratie (M.P.S.D.),974
Mouvement réussir Strasbourg,67
Mouvement solidarité participation,75
Nice vallées montagne,6
Nouvelle Démocratie,75
Parti Communiste Français (P.C.F.,75
Parti communiste guadeloupéen,971
Parti communiste martiniquais,972
Parti communiste réunionnais,974
Parti de la Loi Naturelle (P.L.N.),95
Parti des travailleurs,75
Parti du renouveau politique,33
Parti libéral,34
Parti libéral indépendant jurassien,39
Parti martiniquais socialiste,972
Parti Populaire pour la Démocratie française (ex Club perspectives et réalités) (P.P.D.F.),75
Parti pour la défense des animaux,13
Parti Progressiste Démocratique Gaudeloupéen (P.P.D.G.),971
Parti progressiste martiniquais,972
Parti Radical,75
Parti Républicain,75
Parti Social-Démocrate (P.S.D.),75
Parti Socialiste (P.S.),75
Parti socialiste gaudeloupéen,971
Parti Socialiste Guyanais (P.S.G.),973
Partit occitan,10
Performance et partage,75
Pour rénover la gauche,75
Priorité Réunion,974
Pupu here ai'a te nuna'a la ora,987
Rassemblement des buxangeorgiens républicains (R.B.R.),77
Rassemblement des démocrates et républicains de progrès (R.D.R.P.),77
Rassemblement des démocrates pour la protection de l'espace réunionnais,974
Rassemblement des indépendants nationaux,33
Rassemblement Poitiers sud,86
Rassemblement pour l'Europe fédérale,75
Rassemblement Pour la Calédonie dans la République (R.P.C.R.),988
Rassemblement Pour la République (R.P.R.),75
Rassembler pour agir,95
Rassembler pour l'avenir - espace de liberté,38
Réformes et liberté,75
Solidarité Ecologie Gauche Alternative (S.E.G.A.),75
Solidarité-Ecologie-Haut-Rhin,
(devenu Citoyenneté Solidarité Ecologie),68
Solidarité et progrès,75
Tahoeraa huiraatira,987
Te hoa toa nui o te henua enata,987
Tireo,987
Toulon 89,83
Une Nouvelle-Calédonie pour tous,98
Union centriste,75
Union Démocratique Bretonne (U.D.B.),44
Union Des Indépendants (U.D.I.),75
Union Drôme-Sud des Républicains (U.D.S.R.),26
Union du peuple alsacien,67
Union du peuple de France,69
Union et rassemblement pour le Gers,32
Union nationale écologiste,13
Union populaire pour la libération de la Guadeloupe,971
Union pour l'avenir des Alpes de Haute-Provence,4
Union pour l'avenir du pays de Ploërmel,56
Union pour la Démocratie française (U.D.F.),75
Union pour le Val de Seine (Comité de soutien à J.Jacques Guillet),92
Union pour le pays malouin,35
Union pour Saint-Chamond,42
Union Républicaine Lorraine (U.R.L.),57
Union Républicaine pour l'Eure-et-Loir (U.R.E.L.),28
Unité 13,13
Var progrès plus,83
Walwari,973
